# Electron linewidth = 2*Im(Sigma) (meV)
#      ik       ibnd                 E(ibnd)      Im(Sigma)(meV)
      153         11   -0.15876405677427E+01    0.11253448555751E+01
      153         12    0.12808507511889E+00    0.71503320868222E+01
      154         11   -0.16006053873606E+01    0.13692877753221E+01
      154         12    0.13786785395765E-01    0.77278071160478E+01
      155         11   -0.16008779639692E+01    0.13752779288246E+01
      155         12    0.13047508352580E-01    0.76467254466398E+01
      156         11   -0.11847204613488E+01    0.40833469364334E+00
      156         12   -0.86568193058795E-02    0.69178810101799E+01
      157         11   -0.11850451329537E+01    0.40240399311846E+00
      157         12   -0.89766989283076E-02    0.69006277886349E+01
      158         11   -0.80658005682722E+00    0.97657049770314E+00
      158         12   -0.18240550342439E+00    0.10018934114948E+02
      159         11   -0.62420976885831E+00    0.12322477821231E+01
      159         12    0.67178316375822E-01    0.79732316929010E+01
      160         11    0.16473832300046E+00    0.93536185502256E+01
      160         12    0.95639832589861E+00    0.34646433170848E+01
      161         11    0.16436952365129E+00    0.93103878210224E+01
      161         12    0.95616418292968E+00    0.34551348536439E+01
      162         11   -0.62392439248646E+00    0.12209719499623E+01
      162         12    0.67295942185109E-01    0.79840506477101E+01
      163         11   -0.80650044156977E+00    0.96897955747234E+00
      163         12   -0.18238325188678E+00    0.99536691986626E+01
      164         11   -0.70991537126410E-01    0.52710900594608E+01
      164         12   -0.70989079561064E-01    0.52710900594608E+01
      165         11   -0.70944423506322E-01    0.52863532955749E+01
      165         12   -0.70941965083956E-01    0.52863532955749E+01
      166         11   -0.35025226663059E-01    0.68441808838827E+01
      166         12    0.12721819090532E+01    0.20128419682690E+01
      167         11   -0.30069252685178E-01    0.70480309904593E+01
      167         12    0.12658647657438E+01    0.17513564065814E+01
      168         11   -0.68884756762476E-01    0.57596262705860E+01
      168         12    0.24548162940519E+01    0.28030468504728E+01
      169         11   -0.71244854877784E-01    0.60690793538881E+01
      169         12    0.24583170768113E+01    0.27019187193704E+01
      170         11   -0.16560508592354E+01    0.59726776568580E+00
      170         12   -0.71791808744149E-01    0.60113082367694E+01
      171         11   -0.16516213592932E+01    0.90339633744975E+00
      171         12    0.85515207340124E-01    0.98757454650645E+01
      172         11    0.15278519559904E+00    0.80372703076433E+01
      172         12    0.27642905028149E+01    0.30067579401442E+01
      173         11    0.14663762879745E+00    0.73028932269456E+01
      173         12    0.27600073318377E+01    0.26468324143392E+01
      174         11   -0.16512081530731E+01    0.90915521283457E+00
      174         12    0.86902251552483E-01    0.98943371436991E+01
      175         11   -0.16568808881022E+01    0.58639446674053E+00
      175         12   -0.67663590945121E-01    0.57786053108247E+01
      176         11   -0.12153650003569E+01    0.38082352665019E+00
      176         12    0.10433152578319E-02    0.72213335344707E+01
      177         11    0.13228503401358E+00    0.64434981192818E+01
      177         12    0.18277096133514E+01    0.16026776804977E+01
      178         11    0.12895126668639E+00    0.64808707275631E+01
      178         12    0.18240546341391E+01    0.16214334521896E+01
      179         11   -0.12172454047338E+01    0.37927371894212E+00
      179         12   -0.19416265049563E-02    0.71956843831308E+01
      180         11   -0.82297229352811E+00    0.13029383821936E+01
      180         12   -0.19155184686596E+00    0.10489538138038E+02
      181         11   -0.62420981233862E+00    0.12322505724359E+01
      181         12    0.67178761160790E-01    0.79732457489973E+01
      182         11    0.15745210656795E+00    0.80268331550555E+01
      182         12    0.97045821187750E+00    0.35406986743832E+01
      183         11    0.15745210647644E+00    0.80408884231200E+01
      183         12    0.97045821182773E+00    0.35461720811017E+01
      184         11   -0.62381460920699E+00    0.12162574923649E+01
      184         12    0.67547047797660E-01    0.79889644803506E+01
      185         11   -0.82365970509110E+00    0.13124124644496E+01
      185         12   -0.19218295302972E+00    0.10473369744140E+02
      186         11   -0.58353924824494E-01    0.47134816020248E+01
      186         12   -0.58351332600110E-01    0.47134816020248E+01
      187         11   -0.58190796259893E-01    0.47500569036448E+01
      187         12   -0.58188200818685E-01    0.47500569036448E+01
      188         11   -0.24118106053875E-01    0.85723663353484E+01
      188         12    0.13238936884597E+01    0.30215898947016E+01
      189         11   -0.18924261604339E-01    0.89194450815788E+01
      189         12    0.13176280834722E+01    0.29015476820646E+01
      190         11   -0.78495740004687E-01    0.75448107173672E+01
      190         12    0.25302705125034E+01    0.41654973391384E+01
